date,author,title,content
2023-01-31T15:36:37+09:00,Rod Nickel,"From ashes to fly larvae, new ideas aim to revive farm soil","As extreme weather and human activity degrade the world’s arable land, scientists and developers are looking at new and largely unproven methods to save soil for agriculture.One company is injecting liquid clay into California desert to trap moisture and help fruit to grow, while another in Malaysia boosts soil with droppings from fly larvae. In a Nova Scotia greenhouse, Canadian scientist Vicky Levesque is adding biochar — the burnt residue of plants and wood waste — to soil to help apples grow better.Long-established soil preservation techniques, such as tilling less and sowing crops during off-seasons, are proving no match for more frequent droughts, floods and temperature extremes. Soil erosion is depleting dirt’s ability to produce food, and could lead to a 10% loss in global crop production by 2050, according to the U.N.’s Food and Agriculture Organization."
2023-01-29T13:17:38+09:00,Helene Cooper,"To fix its problems in Ukraine, Russia turns to the architect of the war","Gen. Valery Gerasimov, the architect of President Vladimir Putin’s, took over the day-to-day running of Russia’s war effort this month by convincing his boss that his predecessor was too passive, U.S. and European officials say.But Gerasimov’s turbocharged strategy is what led to Russia’s problems to begin with, and Moscow still does not have the troops, ammunition or equipment that military officials say it needs to mass the big offensive promised by the country’s senior military leader.Since Gerasimov replaced Gen. Sergei Surovikin, who was in the job for three months, Russia’s military leadership has focused on tactical issues like whether troops should travel in civilian vehicles and the dangers of their cellphone use, Western officials say. But while those matters have certainly bedeviled service members, there is no evidence that the Russian military has begun to address its fundamental problems, like shortages of ammunition and well-trained troops, despite the musical chairs of generals, according to these officials."
2023-01-29T20:21:22+09:00,,Sunak fires Zahawi citing ‘serious’ ethics breach over taxes,"Prime Minister Rishi Sunak fired Nadhim Zahawi, citing “serious” breaches of ethics rules after revelations about the Conservative Party chairman’s tax affairs made his position untenable.In a letter to Zahawi on Sunday, Sunak said that the independent review of the matter had been concluded and “it is clear that there has been a serious breach of the Ministerial Code. As a result, I have informed you of my decision to remove you from your position.”Zahawi, 55, had acknowledged that he’d been “careless” with his taxes and had settled a retroactive multimillion pound bill with the country’s tax collector. That — and the revelation that he’d also incurred a penalty for not settling the correct amount at the right time — led to mounting pressure from within his own party for him to quit, or for Sunak to fire him."
2023-01-29T16:21:15+09:00,J. David Goodman,"In Texas oil country, an unfamiliar threat: earthquakes","The West Texas earth shook one day in November, shuddering through the two-story City Hall in downtown Pecos, swaying the ceiling fans at an old railroad station, rattling the walls at a popular taqueria.The tremor registered as a 5.4 magnitude earthquake, among the largest recorded in the state. Then, a month later, another of similar magnitude struck not far away, near Odessa and Midland, twin oil country cities with relatively tall office buildings, some of them visible for miles around.The earthquakes, arriving in close succession, were the latest in what has been several years of surging seismic activity in Texas, a state known for many types of natural disasters but not typically, until now, for major earth movements. In 2022, the state recorded more than 220 earthquakes of 3.0 magnitude or higher, up from 26 recorded in 2017, when the Bureau of Economic Geology at the University of Texas began close monitoring."
2023-02-03T10:11:57+09:00,Idrees Ali,"Chinese spy balloon flying over the United States, Pentagon says","A suspected Chinese spy balloon has been flying over the United States for a couple of days, U.S. officials said on Thursday, in what would be a brazen act just days ahead of a planned trip to Beijing by U.S. Secretary of State Antony Blinken.Fighter jets were mobilized but military leaders advised U.S. President Joe Biden against shooting the balloon out of the sky for fear debris could pose a safety threat, advice Biden accepted, U.S. officials said.The United States took ""custody"" of the balloon when it entered U.S. airspace and had observed it with piloted U.S. military aircraft, one of the officials told reporters on condition of anonymity."
2023-02-03T10:38:16+09:00,Mike Stone,Ukraine's new weapon will force a Russian shift,"With the United States expected to send a new longer-range weapon to Ukraine, it has answered Ukrainian President Volodymyr Zelenskyy's plea for rockets that can strike deep behind the front lines of the nearly yearlong conflict with Russia.Now Russian forces will need to adapt or face potentially catastrophic losses.The new weapon, the Ground Launched Small Diameter Bomb (GLSDB), will allow Ukraine's military to hit targets at twice the distance reachable by the rockets it now fires from the U.S.-supplied High Mobility Artillery Rocket System (HIMARS). If included as expected in an upcoming weapons-aid package, the 151-kilometer GLSDB will put all of Russia's supply lines in the east of the country within reach, as well as part of Russian-occupied Crimea."
2023-02-02T12:09:24+09:00,,"Nikki Haley, once Trump's U.N. ambassador, to take him on in 2024","Former South Carolina Gov. Nikki Haley will kick off her campaign for the 2024 Republican presidential nomination this month, squaring off against her one-time boss, Donald Trump, two sources familiar with her plans said Wednesday.The move would make her just the second declared Republican candidate and could set the stage for a more combative phase of the campaign, potentially putting her in the sights of the pugnacious former U.S. president.Haley’s campaign sent an email to supporters on Wednesday inviting them to a Feb. 15 event in Charleston. She will declare her candidacy there, the sources said."
2023-02-02T12:27:05+09:00,,"Canada commits to taking in 10,000 Uyghur refugees from 2024","Canada’s Parliament passed a motion unanimously on Wednesday to take in 10,000 Uyghur refugees who fled China but are now facing pressure to return.The decision builds on a February 2021 move by Canadian lawmakers to label Beijing’s treatment of Uyghurs and other Turkic Muslims in its northwestern Xinjiang territory as genocide.Rights groups believe at least 1 million Uyghurs and other mostly Muslim minorities have been incarcerated in internment camps in the region, where China is also accused of forcibly sterilizing women and imposing forced labor."
2023-02-02T16:13:26+09:00,Anuj Chopra,Seeing is believing? A global scramble to tackle deepfakes,"Chatbots spouting falsehoods, face-swapping apps crafting porn videos and cloned voices defrauding companies of millions — the scramble is on to rein in AI deepfakes that have become a misinformation super spreader.Artificial Intelligence is redefining the proverb “seeing is believing,” as the deluge of images created out of thin air showing people doing things they have never done and saying things they have never said in real-looking fakes videos proliferates and erodes online trust.“Yikes. (Definitely) not me,” tweeted billionaire Elon Musk last year in one vivid example of a deepfake video that showed him promoting a cryptocurrency scam."
2023-01-31T22:02:33+09:00,,Putin’s war in Ukraine pushes ex-Soviet states toward new allies,"Russian President Vladimir Putin invaded Ukraine partly to assert his country’s regional dominance once and for all. Nearly a year on, Putin has achieved the opposite — and not just in Kyiv.Officials from ex-Soviet states in central Asia and the Caucasus say the war has prompted their governments to look for ways to reduce dependence on Moscow by turning to rival powers including Turkey, the European Union and Middle East countries. All spoke on condition of anonymity to avoid antagonizing the Kremlin.Current and former Russian officials, also speaking on condition they not be identified, said Moscow is reacting nervously, even harshly, as the Kremlin becomes less certain of its ability to assert influence in its own backyard."
2023-02-02T16:55:40+09:00,Mica Rosenberg,Afghans seeking haven in U.S. skyrocket despite risky passage through 11 countries,"Their journey starts with a humanitarian visa for Brazil: one of the few remaining exit routes for Afghans fleeing Taliban rule.It ends, after a perilous trek overland through Latin America across at least 11 countries, with scaling the border wall and jumping onto U.S. soil.More than a year after the chaotic U.S. withdrawal from Kabul, the number of Afghans crossing the U.S.-Mexico border to seek asylum in the United States has soared."
2023-02-01T12:38:13+09:00,Marlowe Hood,"Planting trees could cut urban heat wave deaths by a third, study says","Planting more trees in urban areas to lower summertime temperatures could decrease deaths directly linked to hot weather and heat waves by a third, researchers have said.Modelling found that increasing tree cover to 30% would shave off 0.4 degrees Celsius locally, on average, during hot summer months, they reported Wednesday in The Lancet.Of the 6,700 premature deaths attributed to higher temperatures in 93 European cities during 2015, one third could have been prevented, according to the findings."
2023-02-01T13:22:34+09:00,Stanislav Doshchitsyn,Ukraine to hold EU summit in Kyiv with hope for progress on bloc membership,"Ukraine will hold a summit with the European Union in Kyiv this week, the Ukrainian government announced Tuesday, expressing hope the conference will bring the war-battered nation closer to EU membership almost a year after Russia launched its invasion.Kyiv also said it expects to receive up to 140 modern battle tanks from its Western allies, and there was the prospect of more advanced weapons for Ukraine from the United States.In his evening address to the nation, President Volodymyr Zelenskyy said he was hopeful the summit, which will take place in the Ukrainian capital on Friday, will reflect a high “level of cooperation and progress” with the 27-member bloc, which Kyiv has long sought to join. “We are waiting for news for Ukraine,” Zelenskyy said."
2023-02-01T13:55:02+09:00,,U.S. to lift COVID emergencies from May 11 — what happens next?,"With U.S. COVID-19 deaths averaging 500 a day, down from a peak of more than 3,000 two years ago, the White House plans to end national and public health emergencies on May 11.A public health emergency in response to the pandemic was declared under former U.S. President Donald Trump in January 2020, and has been renewed every 90 days since then.Trump also declared a national emergency in March 2020 and it was later renewed by U.S. President Joe Biden."
2023-02-01T20:46:49+09:00,Veronique Dupont,Half a million strike in U.K.'s largest walkout in 12 years,"Half a million workers went on strike in Britain on Wednesday, calling for higher wages in the largest such walkout in over a decade, closing schools and severely disrupting transport.Europe is battling a cost-of-living crisis and the latest strikes come a day after more than 1.27 million took to the streets in France, upping pressure on the French government over pension reform plans.Britain’s umbrella labor organization, the Trades Union Congress (TUC), called it the “biggest day of strike action since 2011.” Teachers and train drivers were among the latest groups to act, as well as border force workers at UK air and seaports."
2023-02-02T11:55:31+09:00,,Russia advances in eastern Ukraine as strike on apartments kills civilians,"Ukrainian President Volodymyr Zelenskyy and a senior defense official issued dire accounts of Russian forces shelling and advancing in Ukraine’s eastern province of Donetsk, the main focal point of the 11-month-long war.Fierce fighting was unabated in eastern Ukraine, where Russian troops are trying to gain ground near the strategic logistics hub of Lyman, Deputy Defense Minister Hanna Malyar said on Wednesday evening.The town of Bakhmut and 10 communities around it came under Russian artillery and tank fire, the General Staff of the Ukrainian Armed Forces said in a statement on Wednesday night. Bakhmut has suffered relentless bombardment for months by Russian troops."
2023-02-03T18:35:22+09:00,David Sherfinski,"In climate resilience push, U.S. federal cash flows to coastal rich","When deputy clerk Kelly Smith saw how changing flood risk maps could saddle many of her Montana city’s about 2,000 residents with costly new building requirements or limitations, she pondered quitting her job.“When people get upset with the government, especially here, they complain to the office people,” said Smith, who is also treasurer of Three Forks, Montana, set near the confluence of three rivers that mark the start of the Missouri River.The city ultimately was able to secure a more than $4-million federal grant to help prepare for possible flooding — but only after it was turned down for a different resilience grant with no explanation, she said."
2023-02-03T13:24:07+09:00,Dionne Searcey,Nebraskans are sitting on strategic metals. Is mining a patriotic duty?,"In this rural part of Nebraska, county-board agendas include moratoriums on solar farms and some residents scowl when they pass the handful of wind farms that have sprouted. But the idea of a new mine that could help power the transition to renewable energy has received broad support.The tenor of these quiet flatlands, where deer bounce across gravel roads and neon sunsets scream across the long horizon, would change dramatically if mining for metals like niobium, scandium, titanium and rare earths begins.But many people here think southeast Nebraska, dotted with dying downtowns and aging residents, could play a small part in helping to solve a full-blown geopolitical crisis that Doc Evans, a Johnson County commissioner, summed up like this: “The trouble with China.”"
2023-02-03T13:19:39+09:00,Helene Cooper,Soaring death toll gives grim insight into Russian tactics,"The number of Russian troops killed and wounded in Ukraine is approaching 200,000, a stark symbol of how badly Russian President Vladimir Putin’s invasion has gone, according to U.S. and other Western officials.While the officials caution that casualties are notoriously difficult to estimate, particularly because Russia is believed to routinely undercount its war dead and injured, they say the slaughter from fighting in and around the eastern Ukrainian city of Bakhmut and the town of Soledar has ballooned what was already a heavy toll.With Moscow desperate for a major battlefield victory and viewing Bakhmut as the key to seizing the entire eastern Donbas area, the Russian military has sent poorly trained recruits and former convicts to the front lines, straight into the path of Ukrainian shelling and machine guns. The result, U.S. officials say, has been hundreds of troops killed or injured a day."
2023-02-04T12:05:10+09:00,,Western allies pledge precision rockets and missile systems to Ukraine,"Western allies on Friday pledged precision rockets and missile systems to Ukraine, after President Volodymyr Zelenskyy called for sophisticated weapons to help retain control of the embattled eastern city of Bakhmut.The European Union agreed to introduce price caps on Russian petroleum products to try to further limit Russian President Vladimir Putin’s war chest by targeting his key exports.The announcements came shortly after Zelenskyy told a summit with EU leaders in Kyiv: “No-one will surrender Bakhmut. We will fight as long as we can."
2023-02-04T13:54:11+09:00,,Concrete traps carbon dioxide soaked from air in climate-friendly test,"A California startup using rocks to soak up carbon dioxide from the air has teamed up with a Canadian company to mineralize the gas in concrete, a technological tie-up that is a first and they say could provide a model for fighting climate change globally.U.N. scientists concluded that removing billions of tons of carbon dioxide already in the atmosphere, in addition to cutting current emissions, will be necessary to limit climate change. To do that, two things are needed: first,with nature or technology, and second, locking it up for centuries.Companies are springing up to do both."
2023-02-04T18:11:23+09:00,Julian E. Barnes,"Fears of Russian nuclear weapons use have diminished, but could re-emerge","In the fall, tensions in Washington reached a crescendo as Moscow made persistent nuclear threats and U.S. intelligence reported discussions among Russian military leaders about the use of such weapons.Concerns remain over Russia using a nuclear weapon, but the tensions have since abated. Several factors explain why, officials said: A more stable battlefield, China’s warnings against the use of nuclear weapons, improved communications between Moscow and Washington, and an increased role of the International Atomic Energy Agency in Ukraine have contributed to a measure of stability.President Vladimir Putin of Russia, a senior U.S. official said recently, may well have come to the conclusion that the threats, which he once saw as leverage, were backfiring."
2023-02-05T10:48:43+09:00,,U.S. shoots down suspected Chinese spy balloon with a single missile,"U.S. military fighter aircraft shot down a suspected Chinese spy balloon as it floated off the coast of South Carolina on Saturday, drawing to a close a dramatic saga that shone a spotlight on“We successfully took it down, and I want to compliment our aviators who did it,” President Joe Biden said.Biden said he had issued an order on Wednesday to take down the balloon, but the Pentagon had recommended waiting until it could be done over open water to safeguard civilians from debris crashing down to Earth from thousands of meters above commercial air traffic."
2023-02-05T11:16:39+09:00,Marc Santora,Russia pushes to take Ukrainian town near a vital supply line,"Moscow is deploying thousands of soldiers to southeastern Ukraine as it renews an assault on a strategically important town that Ukrainian forces have used to harass shipments on a critical Russian supply line that runs from the eastern Donbas region to Crimea.The town, Vuhledar, has long been in Russia’s cross hairs. It sits at the intersection of the eastern front in the Donetsk region and the southern front in the Zaporizhzhia region, close to the only rail line linking Crimea with the Donbas region. The Ukrainians have used that proximity to lob artillery shells at the trains, limiting Russia’s ability to move men and equipment between the two fronts and, ultimately, to achieve its stated aim of capturing the Donbas, which comprises the provinces of Luhansk and Donetsk.After a major drive in November failed, with reportedly enormous losses, Russian commanders are once again attacking in and around Vuhledar in hopes of securing the rail line."
2023-02-05T11:05:21+09:00,Nancy Cook,"Forget Trump, Democrats are preparing ways to beat a campaign by Ron DeSantis","Democrats are unfazed, even giddy about a possible 2024 rematch between President Joe Biden and Donald Trump. But the prospect of facing upstart Florida Republican Gov. Ron DeSantis is prompting whispers of angst within Democratic circles.While Biden advisers and allies haven’t yet settled on a strategy to thwart DeSantis, the White House hasn’t missed an opportunity to knock him in an effort to weaken him before he can announce a presidential bid, according to conversations with Biden advisers and Democratic strategists.Democrats worry that DeSantis, who presides over a large, diverse and former swing state, could appeal to possible Biden voters, those who would otherwise lean Republican, but were repelled by Trump’s baggage, the advisers and strategists said."
2023-02-05T11:21:32+09:00,William Wilkes,Germany's Olaf Scholz is learning that it’s not easy going green,"In the shadow of the decaying Ensdorf coal plant, Olaf Scholz met with businesses and political leaders on Wednesday to celebrate the site’s future as a chipmaking factory for electric vehicles. It was a promising sign for the German chancellor after a hectic week of pitching Europe’s economic powerhouse as it pivots away from energy-intensive old technologies.“The fact that the good old days are gone doesn’t mean that the good new days can’t begin,” Scholz said at the event, which marked a $3 billion deal between auto supplier ZF Friedrichshafen and American semiconductor maker Wolfspeed Inc.The windswept site in Germany’s tiny western Saarland region is, literally, half a world away from the South American capitals the 64-year-old toured last week. On Jan. 29, Scholz was in Buenos Aires, Argentina, securing access to that country’s hydrogen resources. On Monday, he was in Santiago, Chile, negotiating lithium supply for German industry. Later that day he was in Brazil, unveiling a €200 million environmental package with money earmarked for renewable energy initiatives. On all these stops, the underlying message to corporate Germany and the wider world was the same: Berlin is open for business."
2023-02-03T11:26:56+09:00,Tom Balmforth,"EU-Ukraine wartime summit to deliver on some issues, disappoint on others","European Union leaders will meet Ukrainian President Volodymyr Zelenskyy in Kyiv on Friday, bringing the promise of new sanctions against Russia but disappointing Ukraine’s hope for swift membership to the EU.The head of the group’s executive commission, Ursula von der Leyen, arrived in Kyiv by train on Thursday, a symbolic journey to demonstrate support for Ukraine as the first anniversary of Russia’s Feb. 24, 2022, invasion of its neighbor approaches.Senior members of the EU’s executive met their counterparts in the Ukrainian government, and von der Leyen and the chairman of the 27 EU national leaders, Charles Michel, will convene talks with Zelenskyy on Friday."
2023-02-03T11:29:18+09:00,Alistair Smout,"In a health system in crisis, Britain's heart care suffers","In April 2021, Garry Cogan felt a slow, burning pain move steadily higher through his right arm. It was the start of a major heart attack that doctors warned could shave decades off his life without timely triple-bypass surgery.Nearly two years later Cogan is still waiting for an operation from Britain’s overwhelmed health service, one of millions to suffer as it buckles under the weight of an aging population, a lack of investment and the COVID-19 pandemic.“It’s made me feel very uneasy in myself, very tentative about what I can and cannot do,” said the 62-year-old warehouse worker from Colchester, southeast England, who has reduced his working week to three days out of fear he could trigger another attack."
2023-02-06T17:28:48+09:00,Laurie Goering,How can drought-parched Somalia break out of endless crisis?,"Development cash and humanitarian aid have poured into crisis-mired Somalia in recent years, but Hassan Mowlid Yasin — the head of a climate change nonprofit — has seen little spending he thinks would build lasting resilience to worsening drought.Emergency food supplies have arrived, he said, but not enough cash to fund the changes drought-hit pastoralists say they want, such as better rainwater harvesting systems and deep wells with solar panels to help pull up scarce water.“It’s better to be resilient than in an emergency,” said Yasin, executive director of the Somali Greenpeace Association, a nonprofit that since 2019 has supported communities to better understand climate threats — and work out their own solutions."
2023-02-07T11:38:42+09:00,Daniel Lawler,Why was the Turkey-Syria earthquake so deadly?,"A combination of factors made the powerfulearly on Monday particularly deadly, including its timing, location, a relatively quiet fault line and the weak construction of the collapsed buildings, experts said.More than 5,000 people have been killed by the 7.8-magnitude quake near Turkey’s Syrian border, with the toll expected to grow as aftershocks reverberate throughout the day.The earthquake caused such devastation partly because of its power — it is the strongest earthquake to hit Turkey since 1939 — and because it hit a populated region."
2023-02-07T12:49:07+09:00,John Revill,Swiss neutrality on the line as arms-for-Ukraine debate heats up,"Switzerland is close to breaking with centuries of tradition as a neutral state, as a pro-Ukraine shift in the public and political mood puts pressure on the government to end a ban on exports of Swiss weapons to war zones.Buyers of Swiss arms are legally prevented from re-exporting them, a restriction that some representing the country’s large weapons industry say is now hurting trade.Calls from Switzerland’s European neighbors to allow such transfers to Kyiv have meanwhile grown louder as Russia’s assault intensifies, and parliament’s two security committees recommended that the rules be eased accordingly."
2023-02-07T14:48:36+09:00,Jennifer Jacobs,"Recovering debris from Chinese balloon, U.S. weighs Beijing's involvement","The U.S. has started to recover some parts from the Chinese balloon that an American F-22 fighter jet shot down off the coast of South Carolina, as Biden administration officials said the U.S. was still trying to figure out how much senior leaders in Beijing knew about the alleged spy mission.Debris from the balloon and its payload was scattered over a patch of about 1.9 square kilometers, and the U.S. is surveying the site as it works to retrieve the wreckage, said Gen. Glen VanHerck, head of NORAD. He told a briefing Monday that one concern for the recovery teams was whether the equipment carried explosives or other hazardous materials.Asked whether the balloon uproar weakened U.S.-China relations, U.S. President Joe Biden told reporters Monday, “No. We’ve made it clear to China what we’re going to do. They understand our position. We’re not going to back off. We did the right thing. And there’s not a question of weakening or strengthening. It’s just reality.”"
2023-02-07T11:24:28+09:00,Remi Banet,"Silent phones, freezing rain and anguish in Turkey quake","A stream of cars crawled north out of the shattered city of Sanliurfa, taking traumatized residents a little further from the scene of"
2023-02-07T12:12:41+09:00,Eltaf Najafizada,Dollars smuggled from Pakistan bring lifeline for Taliban but pain for Islamabad,"Millions of dollars are being smuggled from Pakistan into Afghanistan every day, providing some support for the squeezed economy after the U.S. and Europe denied the Taliban regime access to billions in foreign reserves. But for Islamabad, the outflows are exacerbating a rapidly developing economic crisis.Traders and smugglers are bringing as much as $5 million across the border daily, according to Muhammad Zafar Paracha, general secretary of the Exchange Companies Association of Pakistan, a 26-member body of currency dealers. That more than covers the as much as $17 million that Afghanistan’s central bank injects into the market each week.The illicit flows show how the Taliban are evading sanctions after their 2021 takeover of the country. For Pakistan, it’s contributing to the depletion of foreign reserves and adding to the downward pressure on the rupee as the currency tumbles to record lows and the economy teeters on the edge of collapse."
2023-02-06T21:58:22+09:00,Dmitry Zaks,"Over 1,000 dead after earthquakes hit Turkey and Syria","Some of the most powerful earthquakes in decades hit the Middle East on Monday, killing more than 1,000 people in Turkey and Syria.The disaster management authority said 1,014 people were killed in the two quakes that struck the cities of Gaziantep and Kahramanmaras.A first 7.7 magnitude earthquake struck before dawn with an epicenter near the city of Gaziantep, also killing almost 250 in Syria. A second earthquake registering 7.5 hit Turkey’s southeast later Monday."
2023-02-06T12:17:59+09:00,Olivier Devos,New U.K. climate lab puts whole homes to test against weather of the future,"The thermometer sinks below zero degrees Celsius as a blizzard of fine snow descends on two houses newly built inside a massive laboratory in northern England.Despite the icy conditions, the two energy-efficient homes remain cosy and warm due to their use of cutting-edge heating and insulation technology.Welcome to Energy House 2.0, a science experiment designed to help the world’s house builders slash carbon emissions, save energy and tackle climate change."
2023-02-07T18:25:08+09:00,,Eight-week wait for visas to Europe slows China’s reopening,"China’s rapid dismantling of COVID-19 restrictions caught some embassies and consulates in the country off guard and understaffed, leading to complications in issuing visas and delaying the resumption of international business activity.Joerg Wuttke, head of the European Union Chamber of Commerce in China, said some Chinese executives are waiting as long as six to eight weeks to get business visas to travel to Europe. Prior to the pandemic, typical applications could be completed sometimes in a matter of days.Schengen-area countries are most affected, in particular Germany — which counts China as a key trading partner. At least two leading foreign business groups in China have called for a return to systems and processes used before the pandemic. Chinese tourists wishing to travel to Europe have also faced visa delays, forcing some to cancel or rearrange plans."
2023-02-05T11:53:05+09:00,Catarina Demony,"Take a bow-wow! Meet Bobi, the world's oldest dog on record","When his dog was born three decades ago in a tiny village in central Portugal, Leonel Costa was only eight years old. Little did he know that his beloved Bobi would one day be recorded as the world’s oldest dog.When Bobi, a purebred Rafeiro do Alentejo, celebrated its 30th birthday last year, Costa knew he had broken an almost century-old record held by an Australian cattle-dog that died at 29 years and five months in 1939.Costa got in touch with the Guinness World of Records, submitted all the paperwork and a year later Bobi was officially named the oldest dog on record."
2023-02-06T10:36:38+09:00,Tom Balmforth,"Ukraine to replace defense minister in wartime reshuffle, top lawmaker says","Ukraine is set to replace Defense Minister Oleksii Reznikov with the chief of its military spy agency, a close ally of Ukrainian President Volodymyr Zelenskyy said Sunday, in a reshuffle at the forefront of Ukraine’s war campaign.Reznikov would be transferred to another ministerial job and replaced by Kyrylo Budanov, head of the GUR military intelligence agency, said David Arakhamia, a senior lawmaker and chief of Servant of the People parliamentary bloc.“War dictates changes in personnel policy,” Arakhamia said on the Telegram messaging app."
2023-02-05T20:32:22+09:00,,Iran's Supreme leader pardons large number of security-related prisoners linked to protests,"Iran’s Supreme leader Ayatollah Ali Khamenei pardoned “tens of thousands” of prisoners, including many arrested in recent anti-government protests over security-related charges, state media reported on Sunday.“Prisoners not facing charges of spying for foreign agencies, having direct contact with foreign agents, committing intentional murder and injury, committing destruction and arson of state property, or not having a private plaintiff in their case will be pardoned,” state media said.The pardons were announced in honor of the anniversary of the 1979 Islamic revolution."
2023-02-09T10:48:16+09:00,Tom Perry,Earthquake in Syria offers leverage to isolated Bashar Assad,"Syrian President Bashar Assad is seeking political advantage from an earthquake that has devastated large parts of Syria and Turkey, pressing for foreign aid to be delivered through his territory as he aims to chip away at his international isolation, analysts say.Amid an outpouring of sympathy for the Syrians hit by the earthquake, Damascus has seized the moment to reiterate its long-standing demand for aid to be coordinated with his government, shunned by the West since Syria’s war began in 2011.Western powers have shown no sign they are ready to meet that demand or re-engage with Assad, but his hand has been strengthened by difficulties faced by cross-border aid flowing from Turkey into Syria’s rebel-held northwest."
2023-02-08T20:40:10+09:00,Helen Rowe,Zelenskyy lands in U.K. ahead of invasion anniversary,"Ukrainian President Volodymyr Zelenskyy arrived in the United Kingdom on Wednesday for only his second overseas trip since Russia’s invasion began nearly a year ago.After receiving a hero’s welcome in Washington in December, Zelenskyy was due to be feted in a speech to the U.K. parliament alongside meetings with Prime Minister Rishi Sunak and King Charles III.Zelenskyy, dressed in his trademark olive-green top, was hugged by Sunak after disembarking from a military transport plane at Stansted Airport, north of London."
2023-02-09T09:43:32+09:00,Danny Kemp,"Putin likely approved supply of missile that struck MH17, investigators say","International investigators said Wednesday there were “strong indications” that Russian President Vladimir Putin personally approved the supply of the missile that shot down Malaysia Airlines flight MH17 over Ukraine in 2014.But the team said they were halting their probe into the disaster since there was not enough evidence to prosecute more suspects and Putin has immunity as head of state in any case.All 298 people on board were killed when a Russian-made missile slammed into the plane traveling from Amsterdam to Kuala Lumpur, sending it crashing to earth in separatist-held eastern Ukraine."
2023-02-09T06:28:42+09:00,,Hope fading in hunt for survivors of Turkey-Syria quake amid freezing cold,"The death toll from earthquakes that struck Turkey and Syria this week passed 16,000 on Thursday amid anger from those left destitute and frustrated over the slow arrival of rescue teams.Turkish President Recep Tayyip Erdogan, who contests an election in May, said on a visit to the disaster zone on Wednesday that operations were now working normally and promised no one would be left homeless.Across a swath of southern Turkey, people sought temporary shelter and food in freezing winter weather, and waited in anguish by piles of rubble where family and friends might still lie buried. The confirmed death toll in Turkey rose to at least 12,873 on Thursday, the Disaster Management Authority said, up more than 30% on Wednesday’s toll."
2023-02-07T19:56:06+09:00,,"Rescue work moves slowly as Turkey earthquake death toll passes 5,000","Overwhelmed rescuers struggled to save people trapped under the rubble as the death toll from a devastating earthquake in Turkey and Syria passed 5,000 on Tuesday, with despair mounting and the scale of the disaster hampering relief efforts.In the Turkish city of Antakya near the Syrian border, where 10-storey buildings had crumbled onto the streets, reporters saw rescue work being conducted on one of the dozens of mounds of rubble.The temperature was close to freezing as the rain came down and there was no electricity or fuel in the city."
2023-02-08T12:15:00+09:00,Alister Doyle,"With cash infusion, developing nations boost sun-dimming research","Stepping into a “minefield” about how to slow global warming, scientists in developing nations have won new funds to study whethercan be a sufficiently safe way to temporarily cool a hotter planet.Research into “solar geoengineering,” perhaps using planes or balloons to spray sun-reflecting sulphur into the stratosphere, has made scant progress despite alarm over rising temperatures and a sluggish global shift from fossil fuels to renewable energy.Trying to build momentum, the Degrees Initiative, a UK-based nongovernment group, announced on Wednesday $900,000 in new solar geoengineering funding for researchers in 15 countries including Nigeria, Chile and India."
2023-02-08T11:26:22+09:00,Jake Spring,Lula's Amazon pledge looks distant as Brazil battles deforestation,"Brazil’s environmental enforcement agents set out in January on their first mission this year to combat illegal deforestation, with renewed energy after the election of a president who has promised to stop surging Amazon rainforest destruction.But, after years of dwindling funding and staff at the Brazilian Institute for the Environment and Renewable Natural Resources (IBAMA) under former far-right president Jair Bolsonaro, only two of the 12 agents on the mission near the town of Uruara had any experience with field operations.Their helicopters were out of action for maintenance so they had to travel by truck, bumping over 200 kilometers (125 miles) of rough dirt roads to visit five deforested areas in 12 hours. On one site, it appeared loggers had left minutes before IBAMA arrived, likely warned by lookouts along the roadway, the agents said."
2023-02-08T13:43:39+09:00,Sebastian Smith,Upbeat Biden urges U.S. unity and vows to restore blue-collar pride,"U.S. President Joe Biden touted America’s “unbroken” democracy and resurgent economy in an optimistic State of the Union speech Tuesday — as he sought to persuade skeptical voters that at 80 he still has what it takes to takes to run for re-election.Biden’s address before Congress and tens of millions of television viewers was a chance for the Democrat, who is expected soon to announce a bid for a second term, to pitch his centrist, populist vision of a country healing after COVID-19 and the turmoil of Donald Trump’s presidency.In a raucous prime-time speech that occasionally more resembled the British parliament’s Question Time than the staid annual U.S. tradition, Biden eagerly took on jeering Republicans who newly control the House of Representatives."
2023-02-08T13:49:27+09:00,,Biden warns U.S. will act on China after balloon downing,"U.S. President Joe Biden vowed Tuesday he would not hesitate to defend U.S. interests against China after he ordered the downing of a suspected surveillance balloon but, delivering his State of the Union address, kept the door open to cooperation.In the annual speech to assembled lawmakers, many of whom have pressed for a hard line on China, Biden called for U.S. investment in the military, technology and alliances to take on the country widely viewed as the chief U.S. competitor.“I’m committed to work with China where it can advance American interests and benefit the world,” Biden said."
